Entry ID,Name,Technology,Section,Platform,RMC,Note,Target kind (process/web/folder/labview-dev/labview-epics/phoebus),"Command, URL, or folder path",Arguments (JSON or semicolon-separated),Working directory,Environment requirements,Owner/contact,Enabled (yes/no),Tested on host,Test result/date,Comments,IOC name,Host name,IOC type,GUI name,GUI type,EXE name,Phoebus resource URI/path,Phoebus app name,Phoebus use configured layout (yes/no)
example-001,,,,,,,,,,,,,,,,,,,,,,,,,
example-002,,,,,,,,,,,,,,,,,,,,,,,,,
example-003,,,,,,,,,,,,,,,,,,,,,,,,,
example-004,,,,,,,,,,,,,,,,,,,,,,,,,
example-005,,,,,,,,,,,,,,,,,,,,,,,,,
example-006,,,,,,,,,,,,,,,,,,,,,,,,,
example-007,,,,,,,,,,,,,,,,,,,,,,,,,
example-008,,,,,,,,,,,,,,,,,,,,,,,,,
example-009,,,,,,,,,,,,,,,,,,,,,,,,,
example-010,,,,,,,,,,,,,,,,,,,,,,,,,
example-011,,,,,,,,,,,,,,,,,,,,,,,,,
example-012,,,,,,,,,,,,,,,,,,,,,,,,,
example-013,,,,,,,,,,,,,,,,,,,,,,,,,
example-014,,,,,,,,,,,,,,,,,,,,,,,,,
example-015,,,,,,,,,,,,,,,,,,,,,,,,,
example-016,,,,,,,,,,,,,,,,,,,,,,,,,
example-017,,,,,,,,,,,,,,,,,,,,,,,,,
example-018,,,,,,,,,,,,,,,,,,,,,,,,,
example-019,,,,,,,,,,,,,,,,,,,,,,,,,
example-020,,,,,,,,,,,,,,,,,,,,,,,,,
example-021,,,,,,,,,,,,,,,,,,,,,,,,,
example-022,,,,,,,,,,,,,,,,,,,,,,,,,
example-023,,,,,,,,,,,,,,,,,,,,,,,,,
example-024,,,,,,,,,,,,,,,,,,,,,,,,,
example-025,,,,,,,,,,,,,,,,,,,,,,,,,
example-026,,,,,,,,,,,,,,,,,,,,,,,,,
example-027,,,,,,,,,,,,,,,,,,,,,,,,,
example-028,,,,,,,,,,,,,,,,,,,,,,,,,
example-029,,,,,,,,,,,,,,,,,,,,,,,,,
example-030,,,,,,,,,,,,,,,,,,,,,,,,,
example-031,,,,,,,,,,,,,,,,,,,,,,,,,
example-032,,,,,,,,,,,,,,,,,,,,,,,,,
example-033,,,,,,,,,,,,,,,,,,,,,,,,,
example-034,,,,,,,,,,,,,,,,,,,,,,,,,
example-035,,,,,,,,,,,,,,,,,,,,,,,,,
example-036,,,,,,,,,,,,,,,,,,,,,,,,,
example-037,,,,,,,,,,,,,,,,,,,,,,,,,
example-038,,,,,,,,,,,,,,,,,,,,,,,,,
example-039,,,,,,,,,,,,,,,,,,,,,,,,,
example-040,,,,,,,,,,,,,,,,,,,,,,,,,
